"","cage","treatment","side","edge","variable","sum","time","ts","tst"
"1",1,"b2","sw","y","time0-27Jun-JMC",1000,-1,"b2sw","b2sw-1"
"2",1,"b2","sw","y","time1-24Jul-PJ",2094,26,"b2sw","b2sw26"
"3",1,"b2","sw","y","time2-31jul-MM",1850,33,"b2sw","b2sw33"
"4",1,"b2","sw","y","time3-7Aug-PJ",3006,40,"b2sw","b2sw40"
"5",1,"b2","sw","y","time4-21Aug-Pjetal",6999,54,"b2sw","b2sw54"
"6",1,"b2","sw","y","time5-sep6",6339,70,"b2sw","b2sw70"
"7",1,"b2","sw","y","time6-sep12",753,76,"b2sw","b2sw76"
"8",1,"b2","sw","y","time7-sep26",886,90,"b2sw","b2sw90"
"9",1,"b2","sw","y","time8-9oct",788,103,"b2sw","b2sw103"
"10",1,"b2","sw","y","time9-20oct",336,114,"b2sw","b2sw114"
"11",1,"b2","sw","y","time10-28oct",101,122,"b2sw","b2sw122"
"12",2,"45","ne","y","time0-27Jun-JMC",1000,-1,"45ne","45ne-1"
"13",2,"45","ne","y","time1-24Jul-PJ",825,26,"45ne","45ne26"
"14",2,"45","ne","y","time2-31jul-MM",992,33,"45ne","45ne33"
"15",2,"45","ne","y","time3-7Aug-PJ",829,40,"45ne","45ne40"
"16",2,"45","ne","y","time4-21Aug-Pjetal",3962,54,"45ne","45ne54"
"17",2,"45","ne","y","time5-sep6",6149,70,"45ne","45ne70"
"18",2,"45","ne","y","time6-sep12",487,76,"45ne","45ne76"
"19",2,"45","ne","y","time7-sep26",459,90,"45ne","45ne90"
"20",2,"45","ne","y","time8-9oct",247,103,"45ne","45ne103"
"21",2,"45","ne","y","time9-20oct",180,114,"45ne","45ne114"
"22",2,"45","ne","y","time10-28oct",62,122,"45ne","45ne122"
"23",3,"t2","sw","n","time0-27Jun-JMC",1000,-1,"t2sw","t2sw-1"
"24",3,"t2","sw","n","time1-24Jul-PJ",1347,26,"t2sw","t2sw26"
"25",3,"t2","sw","n","time2-31jul-MM",1350,33,"t2sw","t2sw33"
"26",3,"t2","sw","n","time3-7Aug-PJ",1699,40,"t2sw","t2sw40"
"27",3,"t2","sw","n","time4-21Aug-Pjetal",5946,54,"t2sw","t2sw54"
"28",3,"t2","sw","n","time5-sep6",6389,70,"t2sw","t2sw70"
"29",3,"t2","sw","n","time6-sep12",3351,76,"t2sw","t2sw76"
"30",3,"t2","sw","n","time7-sep26",2396,90,"t2sw","t2sw90"
"31",3,"t2","sw","n","time8-9oct",1390,103,"t2sw","t2sw103"
"32",3,"t2","sw","n","time9-20oct",1197,114,"t2sw","t2sw114"
"33",3,"t2","sw","n","time10-28oct",432,122,"t2sw","t2sw122"
"34",4,"b2","ne","n","time0-27Jun-JMC",1000,-1,"b2ne","b2ne-1"
"35",4,"b2","ne","n","time1-24Jul-PJ",729,26,"b2ne","b2ne26"
"36",4,"b2","ne","n","time2-31jul-MM",1095,33,"b2ne","b2ne33"
"37",4,"b2","ne","n","time3-7Aug-PJ",1778,40,"b2ne","b2ne40"
"38",4,"b2","ne","n","time4-21Aug-Pjetal",6457,54,"b2ne","b2ne54"
"39",4,"b2","ne","n","time5-sep6",8321,70,"b2ne","b2ne70"
"40",4,"b2","ne","n","time6-sep12",3224,76,"b2ne","b2ne76"
"41",4,"b2","ne","n","time7-sep26",1479,90,"b2ne","b2ne90"
"42",4,"b2","ne","n","time8-9oct",809,103,"b2ne","b2ne103"
"43",4,"b2","ne","n","time9-20oct",0,114,"b2ne","b2ne114"
"44",4,"b2","ne","n","time10-28oct",0,122,"b2ne","b2ne122"
"45",5,"45","sw","n","time0-27Jun-JMC",1000,-1,"45sw","45sw-1"
"46",5,"45","sw","n","time1-24Jul-PJ",1790,26,"45sw","45sw26"
"47",5,"45","sw","n","time2-31jul-MM",2298,33,"45sw","45sw33"
"48",5,"45","sw","n","time3-7Aug-PJ",2607,40,"45sw","45sw40"
"49",5,"45","sw","n","time4-21Aug-Pjetal",6495,54,"45sw","45sw54"
"50",5,"45","sw","n","time5-sep6",5990,70,"45sw","45sw70"
"51",5,"45","sw","n","time6-sep12",2296,76,"45sw","45sw76"
"52",5,"45","sw","n","time7-sep26",1982,90,"45sw","45sw90"
"53",5,"45","sw","n","time8-9oct",1164,103,"45sw","45sw103"
"54",5,"45","sw","n","time9-20oct",621,114,"45sw","45sw114"
"55",5,"45","sw","n","time10-28oct",128,122,"45sw","45sw122"
"56",6,"b2","ne","n","time0-27Jun-JMC",1000,-1,"b2ne","b2ne-1"
"57",6,"b2","ne","n","time1-24Jul-PJ",1039,26,"b2ne","b2ne26"
"58",6,"b2","ne","n","time2-31jul-MM",984,33,"b2ne","b2ne33"
"59",6,"b2","ne","n","time3-7Aug-PJ",1744,40,"b2ne","b2ne40"
"60",6,"b2","ne","n","time4-21Aug-Pjetal",6584,54,"b2ne","b2ne54"
"61",6,"b2","ne","n","time5-sep6",6884,70,"b2ne","b2ne70"
"62",6,"b2","ne","n","time6-sep12",694,76,"b2ne","b2ne76"
"63",6,"b2","ne","n","time7-sep26",901,90,"b2ne","b2ne90"
"64",6,"b2","ne","n","time8-9oct",703,103,"b2ne","b2ne103"
"65",6,"b2","ne","n","time9-20oct",883,114,"b2ne","b2ne114"
"66",6,"b2","ne","n","time10-28oct",587,122,"b2ne","b2ne122"
"67",7,"45","sw","n","time0-27Jun-JMC",1000,-1,"45sw","45sw-1"
"68",7,"45","sw","n","time1-24Jul-PJ",2103,26,"45sw","45sw26"
"69",7,"45","sw","n","time2-31jul-MM",2129,33,"45sw","45sw33"
"70",7,"45","sw","n","time3-7Aug-PJ",2979,40,"45sw","45sw40"
"71",7,"45","sw","n","time4-21Aug-Pjetal",8596,54,"45sw","45sw54"
"72",7,"45","sw","n","time5-sep6",4061,70,"45sw","45sw70"
"73",7,"45","sw","n","time6-sep12",2040,76,"45sw","45sw76"
"74",7,"45","sw","n","time7-sep26",2555,90,"45sw","45sw90"
"75",7,"45","sw","n","time8-9oct",1558,103,"45sw","45sw103"
"76",7,"45","sw","n","time9-20oct",973,114,"45sw","45sw114"
"77",7,"45","sw","n","time10-28oct",124,122,"45sw","45sw122"
"78",8,"b2","ne","n","time0-27Jun-JMC",1000,-1,"b2ne","b2ne-1"
"79",8,"b2","ne","n","time1-24Jul-PJ",762,26,"b2ne","b2ne26"
"80",8,"b2","ne","n","time2-31jul-MM",1507,33,"b2ne","b2ne33"
"81",8,"b2","ne","n","time3-7Aug-PJ",2074,40,"b2ne","b2ne40"
"82",8,"b2","ne","n","time4-21Aug-Pjetal",6294,54,"b2ne","b2ne54"
"83",8,"b2","ne","n","time5-sep6",4487,70,"b2ne","b2ne70"
"84",8,"b2","ne","n","time6-sep12",590,76,"b2ne","b2ne76"
"85",8,"b2","ne","n","time7-sep26",1972,90,"b2ne","b2ne90"
"86",8,"b2","ne","n","time8-9oct",1026,103,"b2ne","b2ne103"
"87",8,"b2","ne","n","time9-20oct",875,114,"b2ne","b2ne114"
"88",8,"b2","ne","n","time10-28oct",376,122,"b2ne","b2ne122"
"89",9,"t2","sw","n","time0-27Jun-JMC",1000,-1,"t2sw","t2sw-1"
"90",9,"t2","sw","n","time1-24Jul-PJ",1015,26,"t2sw","t2sw26"
"91",9,"t2","sw","n","time2-31jul-MM",1464,33,"t2sw","t2sw33"
"92",9,"t2","sw","n","time3-7Aug-PJ",1376,40,"t2sw","t2sw40"
"93",9,"t2","sw","n","time4-21Aug-Pjetal",6142,54,"t2sw","t2sw54"
"94",9,"t2","sw","n","time5-sep6",6042,70,"t2sw","t2sw70"
"95",9,"t2","sw","n","time6-sep12",3454,76,"t2sw","t2sw76"
"96",9,"t2","sw","n","time7-sep26",2494,90,"t2sw","t2sw90"
"97",9,"t2","sw","n","time8-9oct",1748,103,"t2sw","t2sw103"
"98",9,"t2","sw","n","time9-20oct",1298,114,"t2sw","t2sw114"
"99",9,"t2","sw","n","time10-28oct",671,122,"t2sw","t2sw122"
"100",10,"45","ne","n","time0-27Jun-JMC",1000,-1,"45ne","45ne-1"
"101",10,"45","ne","n","time1-24Jul-PJ",1107,26,"45ne","45ne26"
"102",10,"45","ne","n","time2-31jul-MM",1641,33,"45ne","45ne33"
"103",10,"45","ne","n","time3-7Aug-PJ",1311,40,"45ne","45ne40"
"104",10,"45","ne","n","time4-21Aug-Pjetal",6108,54,"45ne","45ne54"
"105",10,"45","ne","n","time5-sep6",4083,70,"45ne","45ne70"
"106",10,"45","ne","n","time6-sep12",412,76,"45ne","45ne76"
"107",10,"45","ne","n","time7-sep26",781,90,"45ne","45ne90"
"108",10,"45","ne","n","time8-9oct",601,103,"45ne","45ne103"
"109",10,"45","ne","n","time9-20oct",713,114,"45ne","45ne114"
"110",10,"45","ne","n","time10-28oct",302,122,"45ne","45ne122"
"111",11,"b2","sw","n","time0-27Jun-JMC",1000,-1,"b2sw","b2sw-1"
"112",11,"b2","sw","n","time1-24Jul-PJ",1696,26,"b2sw","b2sw26"
"113",11,"b2","sw","n","time2-31jul-MM",2020,33,"b2sw","b2sw33"
"114",11,"b2","sw","n","time3-7Aug-PJ",1401,40,"b2sw","b2sw40"
"115",11,"b2","sw","n","time4-21Aug-Pjetal",7889,54,"b2sw","b2sw54"
"116",11,"b2","sw","n","time5-sep6",3011,70,"b2sw","b2sw70"
"117",11,"b2","sw","n","time6-sep12",489,76,"b2sw","b2sw76"
"118",11,"b2","sw","n","time7-sep26",1965,90,"b2sw","b2sw90"
"119",11,"b2","sw","n","time8-9oct",1328,103,"b2sw","b2sw103"
"120",11,"b2","sw","n","time9-20oct",1155,114,"b2sw","b2sw114"
"121",11,"b2","sw","n","time10-28oct",558,122,"b2sw","b2sw122"
"122",12,"45","ne","n","time0-27Jun-JMC",1000,-1,"45ne","45ne-1"
"123",12,"45","ne","n","time1-24Jul-PJ",803,26,"45ne","45ne26"
"124",12,"45","ne","n","time2-31jul-MM",1195,33,"45ne","45ne33"
"125",12,"45","ne","n","time3-7Aug-PJ",1217,40,"45ne","45ne40"
"126",12,"45","ne","n","time4-21Aug-Pjetal",3872,54,"45ne","45ne54"
"127",12,"45","ne","n","time5-sep6",3644,70,"45ne","45ne70"
"128",12,"45","ne","n","time6-sep12",565,76,"45ne","45ne76"
"129",12,"45","ne","n","time7-sep26",633,90,"45ne","45ne90"
"130",12,"45","ne","n","time8-9oct",615,103,"45ne","45ne103"
"131",12,"45","ne","n","time9-20oct",630,114,"45ne","45ne114"
"132",12,"45","ne","n","time10-28oct",225,122,"45ne","45ne122"
"133",13,"t2","sw","n","time0-27Jun-JMC",1000,-1,"t2sw","t2sw-1"
"134",13,"t2","sw","n","time1-24Jul-PJ",1556,26,"t2sw","t2sw26"
"135",13,"t2","sw","n","time2-31jul-MM",1718,33,"t2sw","t2sw33"
"136",13,"t2","sw","n","time3-7Aug-PJ",1251,40,"t2sw","t2sw40"
"137",13,"t2","sw","n","time4-21Aug-Pjetal",6407,54,"t2sw","t2sw54"
"138",13,"t2","sw","n","time5-sep6",4329,70,"t2sw","t2sw70"
"139",13,"t2","sw","n","time6-sep12",1865,76,"t2sw","t2sw76"
"140",13,"t2","sw","n","time7-sep26",1571,90,"t2sw","t2sw90"
"141",13,"t2","sw","n","time8-9oct",1679,103,"t2sw","t2sw103"
"142",13,"t2","sw","n","time9-20oct",1604,114,"t2sw","t2sw114"
"143",13,"t2","sw","n","time10-28oct",1015,122,"t2sw","t2sw122"
"144",14,"b2","ne","y","time0-27Jun-JMC",1000,-1,"b2ne","b2ne-1"
"145",14,"b2","ne","y","time1-24Jul-PJ",800,26,"b2ne","b2ne26"
"146",14,"b2","ne","y","time2-31jul-MM",1154,33,"b2ne","b2ne33"
"147",14,"b2","ne","y","time3-7Aug-PJ",1411,40,"b2ne","b2ne40"
"148",14,"b2","ne","y","time4-21Aug-Pjetal",5183,54,"b2ne","b2ne54"
"149",14,"b2","ne","y","time5-sep6",5625,70,"b2ne","b2ne70"
"150",14,"b2","ne","y","time6-sep12",1136,76,"b2ne","b2ne76"
"151",14,"b2","ne","y","time7-sep26",1536,90,"b2ne","b2ne90"
"152",14,"b2","ne","y","time8-9oct",1212,103,"b2ne","b2ne103"
"153",14,"b2","ne","y","time9-20oct",935,114,"b2ne","b2ne114"
"154",14,"b2","ne","y","time10-28oct",390,122,"b2ne","b2ne122"
"155",15,"45","sw","y","time0-27Jun-JMC",1000,-1,"45sw","45sw-1"
"156",15,"45","sw","y","time1-24Jul-PJ",1733,26,"45sw","45sw26"
"157",15,"45","sw","y","time2-31jul-MM",2097,33,"45sw","45sw33"
"158",15,"45","sw","y","time3-7Aug-PJ",1948,40,"45sw","45sw40"
"159",15,"45","sw","y","time4-21Aug-Pjetal",8114,54,"45sw","45sw54"
"160",15,"45","sw","y","time5-sep6",9044,70,"45sw","45sw70"
"161",15,"45","sw","y","time6-sep12",1659,76,"45sw","45sw76"
"162",15,"45","sw","y","time7-sep26",2700,90,"45sw","45sw90"
"163",15,"45","sw","y","time8-9oct",1844,103,"45sw","45sw103"
"164",15,"45","sw","y","time9-20oct",1836,114,"45sw","45sw114"
"165",15,"45","sw","y","time10-28oct",691,122,"45sw","45sw122"
